國語注音符號第一式,威妥瑪拼音,國語注音符號第二式,華語通用拼音,漢語拼音方案
ㄅㄚ,pa,ba,ba,ba
ㄅㄛ,po,bo,bo,bo
ㄅㄞ,pai,bai,bai,bai
ㄅㄟ,pei,bei,bei,bei
ㄅㄠ,pao,bau,bao,bao
ㄅㄢ,pan,ban,ban,ban
ㄅㄣ,pên,ben,ben,ben
ㄅㄤ,pang,bang,bang,bang
ㄅㄥ,pêng,beng,beng,beng
ㄅㄧ,pi,bi,bi,bi
ㄅㄧㄝ,pieh,bie,bie,bie
ㄅㄧㄠ,piao,biau,biao,biao
ㄅㄧㄢ,pien,bian,bian,bian
ㄅㄧㄣ,pin,bin,bin,bin
ㄅㄧㄥ,ping,bing,bing,bing
ㄅㄨ,pu,bu,bu,bu
ㄆㄚ,p'a,pa,pa,pa
ㄆㄛ,p'o,po,po,po
ㄆㄞ,p'ai,pai,pai,pai
ㄆㄟ,p'ei,pei,pei,pei
ㄆㄠ,p'ao,pau,pao,pao
ㄆㄡ,p'ou,pou,pou,pou
ㄆㄢ,p'an,pan,pan,pan
ㄆㄣ,p'ên,pen,pen,pen
ㄆㄤ,p'ang,pang,pang,pang
ㄆㄥ,p'êng,peng,peng,peng
ㄆㄧ,p'i,pi,pi,pi
ㄆㄧㄝ,p'ieh,pie,pie,pie
ㄆㄧㄠ,p'iao,piau,piao,piao
ㄆㄧㄢ,p'ien,pian,pian,pian
ㄆㄧㄣ,p'in,pin,pin,pin
ㄆㄧㄥ,p'ing,ping,ping,ping
ㄆㄨ,p'u,pu,pu,pu
ㄇㄚ,ma,ma,ma,ma
ㄇㄛ,mo,mo,mo,mo
ㄇㄜ,mê,me,me,me
ㄇㄞ,mai,mai,mai,mai
ㄇㄟ,mei,mei,mei,mei
ㄇㄠ,mao,mau,mao,mao
ㄇㄡ,mou,mou,mou,mou
ㄇㄢ,man,man,man,man
ㄇㄣ,mên,men,men,men
ㄇㄤ,mang,mang,mang,mang
ㄇㄥ,mêng,meng,meng,meng
ㄇㄧ,mi,mi,mi,mi
ㄇㄧㄝ,mieh,mie,mie,mie
ㄇㄧㄠ,miao,miau,miao,miao
ㄇㄧㄡ,miu,miou,miou,miu
ㄇㄧㄢ,mien,mian,mian,mian
ㄇㄧㄣ,min,min,min,min
ㄇㄧㄥ,ming,ming,ming,ming
ㄇㄨ,mu,mu,mu,mu
ㄈㄚ,fa,fa,fa,fa
ㄈㄛ,fo,fo,fo,fo
ㄈㄟ,fei,fei,fei,fei
ㄈㄡ,fou,fou,fou,fou
ㄈㄢ,fan,fan,fan,fan
ㄈㄣ,fên,fen,fen,fen
ㄈㄤ,fang,fang,fang,fang
ㄈㄥ,fêng,feng,fong,feng
ㄈㄨ,fu,fu,fu,fu
ㄉㄚ,ta,da,da,da
ㄉㄜ,tê,de,de,de
ㄉㄞ,tai,dai,dai,dai
ㄉㄟ,tei,dei,dei,dei
ㄉㄠ,tao,dau,dao,dao
ㄉㄡ,tou,dou,dou,dou
ㄉㄢ,tan,dan,dan,dan
ㄉㄤ,tang,dang,dang,dang
ㄉㄥ,têng,deng,deng,deng
ㄉㄧ,ti,di,di,di
ㄉㄧㄝ,tieh,die,die,die
ㄉㄧㄠ,tiao,diau,diao,diao
ㄉㄧㄡ,tiu,diou,diou,diu
ㄉㄧㄢ,tien,dian,dian,dian
ㄉㄧㄤ,tiang,diang,diang,diang
ㄉㄧㄥ,ting,ding,ding,ding
ㄉㄨ,tu,du,du,du
ㄉㄨㄛ,to,duo,duo,duo
ㄉㄨㄟ,tui,duei,duei,dui
ㄉㄨㄢ,tuan,duan,duan,duan
ㄉㄨㄣ,tun,duen,dun,dun
ㄉㄨㄥ,tung,dung,dong,dong
ㄊㄚ,t'a,ta,ta,ta
ㄊㄜ,t'ê,te,te,te
ㄊㄞ,t'ai,tai,tai,tai
ㄊㄟ,t'ei,tei,tei,tei
ㄊㄠ,t'ao,tau,tao,tao
ㄊㄡ,t'ou,tou,tou,tou
ㄊㄢ,t'an,tan,tan,tan
ㄊㄤ,t'ang,tang,tang,tang
ㄊㄥ,t'êng,teng,teng,teng
ㄊㄧ,t'i,ti,ti,ti
ㄊㄧㄝ,t'ieh,tie,tie,tie
ㄊㄧㄠ,t'iao,tiau,tiao,tiao
ㄊㄧㄢ,t'ien,tian,tian,tian
ㄊㄧㄥ,t'ing,ting,ting,ting
ㄊㄨ,t'u,tu,tu,tu
ㄊㄨㄛ,t'o,tuo,tuo,tuo
ㄊㄨㄟ,t'ui,tuei,tuei,tui
ㄊㄨㄢ,t'uan,tuan,tuan,tuan
ㄊㄨㄣ,t'un,tuen,tun,tun
ㄊㄨㄥ,t'ung,tung,tong,tong
ㄋㄚ,na,na,na,na
ㄋㄜ,nê,ne,ne,ne
ㄋㄞ,nai,nai,nai,nai
ㄋㄟ,nei,nei,nei,nei
ㄋㄠ,nao,nau,nao,nao
ㄋㄡ,nou,nou,nou,nou
ㄋㄢ,nan,nan,nan,nan
ㄋㄣ,nên,nen,nen,nen
ㄋㄤ,nang,nang,nang,nang
ㄋㄥ,nêng,neng,neng,neng
ㄋㄧ,ni,ni,ni,ni
ㄋㄧㄚ,nia,nia,nia,nia
ㄋㄧㄝ,nieh,nie,nie,nie
ㄋㄧㄠ,niao,niau,niao,niao
ㄋㄧㄡ,niu,niou,niou,niu
ㄋㄧㄢ,nien,nian,nian,nian
ㄋㄧㄣ,nin,nin,nin,nin
ㄋㄧㄤ,niang,niang,niang,niang
ㄋㄧㄥ,ning,ning,ning,ning
ㄋㄨ,nu,nu,nu,nu
ㄋㄨㄛ,no,nuo,nuo,nuo
ㄋㄨㄢ,nuan,nuan,nuan,nuan
ㄋㄨㄣ,nun,nuen,nun,nun
